TableName,ColumnName,DataType,IsMetricOrDimension,ColumnDescription
agentservices_tasky_agent_states_v2,OUID,String,Dimension,"Yogesh"
agentservices_tasky_agent_states_v2,AgentID,UUID,Dimension,EMPTY
agentservices_tasky_agent_states_v2,AgentEmail,String,Dimension,EMPTY
agentservices_tasky_agent_states_v2,State,String,Dimension,EMPTY
agentservices_tasky_agent_states_v2,PrevState,String,Dimension,EMPTY
agentservices_tasky_agent_states_v2,Reason,String,Dimension,EMPTY
agentservices_tasky_agent_states_v2,Timestamp,DateTime64(3),Dimension,EMPTY
agentservices_tasky_agent_states_v2,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_agent_states_v2,AppVSN,String,Dimension,EMPTY
agentservices_tasky_agent_states_v2,EID,UUID,Dimension,EMPTY
agentservices_tasky_agent_states_v2,Universe,String,Dimension,EMPTY
agentservices_tasky_allocation_created,OUID,String,Dimension,EMPTY
agentservices_tasky_allocation_created,TaskID,UUID,Dimension,EMPTY
agentservices_tasky_allocation_created,AgentOUID,String,Dimension,EMPTY
agentservices_tasky_allocation_created,AgentID,UUID,Dimension,EMPTY
agentservices_tasky_allocation_created,AllocationID,UUID,Dimension,EMPTY
agentservices_tasky_allocation_created,TaskAttributes,Nullable(String),Dimension,EMPTY
agentservices_tasky_allocation_created,AgentAttributes,Nullable(String),Dimension,EMPTY
agentservices_tasky_allocation_created,Mode,String,Dimension,EMPTY
agentservices_tasky_allocation_created,Timestamp,DateTime64(3),Dimension,EMPTY
agentservices_tasky_allocation_created,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_allocation_created,AppVSN,String,Dimension,EMPTY
agentservices_tasky_allocation_created,EID,UUID,Dimension,EMPTY
agentservices_tasky_allocation_created,Universe,String,Dimension,EMPTY
agentservices_tasky_allocation_created,AllocationCycleTimestamp,Nullable(DateTime64(6)),Dimension,EMPTY
agentservices_tasky_allocation_cycle_stats,AgentsCount,Int32,Metric,EMPTY
agentservices_tasky_allocation_cycle_stats,TasksCount,Int32,Metric,EMPTY
agentservices_tasky_allocation_cycle_stats,OUID,String,Dimension,EMPTY
agentservices_tasky_allocation_cycle_stats,Timestamp,DateTime64(6),Dimension,EMPTY
agentservices_tasky_allocation_cycle_stats,InsertedAt,DateTime64(3),Dimension,EMPTY
agentservices_tasky_allocation_cycle_stats,AppVSN,String,Dimension,EMPTY
agentservices_tasky_allocation_cycle_stats,EID,UUID,Dimension,EMPTY
agentservices_tasky_allocation_cycle_stats,Universe,String,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,OUID,String,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,AgentID,UUID,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,AgentEmail,String,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,OfflineReason,String,Dimension,EMPTY
agentservices_tasky_reviewer_offline_events,Timestamp,DateTime64(3),Dimension,EMPTY
