TableName,ColumnDescription,ColumnName,DataType,IsMetricOrDimension,Comments
agentservices_tasky_agent_states_v2,EMPTY,OUID,String,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,AgentID,UUID,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,AgentEmail,String,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,State,String,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,PrevState,String,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,Reason,String,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,Timestamp,DateTime64(3),Dimension,
agentservices_tasky_agent_states_v2,EMPTY,InsertedAt,DateTime64(3),Dimension,
agentservices_tasky_agent_states_v2,EMPTY,AppVSN,String,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,EID,UUID,Dimension,
agentservices_tasky_agent_states_v2,EMPTY,Universe,String,Dimension,
agentservices_tasky_allocation_created,EMPTY,OUID,String,Dimension,
agentservices_tasky_allocation_created,EMPTY,TaskID,UUID,Dimension,
agentservices_tasky_allocation_created,EMPTY,AgentOUID,String,Dimension,
agentservices_tasky_allocation_created,EMPTY,AgentID,UUID,Dimension,
agentservices_tasky_allocation_created,EMPTY,AllocationID,UUID,Dimension,
agentservices_tasky_allocation_created,EMPTY,TaskAttributes,Nullable(String),Dimension,
agentservices_tasky_allocation_created,EMPTY,AgentAttributes,Nullable(String),Dimension,
agentservices_tasky_allocation_created,EMPTY,Mode,String,Dimension,
agentservices_tasky_allocation_created,EMPTY,Timestamp,DateTime64(3),Dimension,
agentservices_tasky_allocation_created,EMPTY,InsertedAt,DateTime64(3),Dimension,
agentservices_tasky_allocation_created,EMPTY,AppVSN,String,Dimension,
agentservices_tasky_allocation_created,EMPTY,EID,UUID,Dimension,
agentservices_tasky_allocation_created,EMPTY,Universe,String,Dimension,
agentservices_tasky_allocation_created,EMPTY,AllocationCycleTimestamp,Nullable(DateTime64(6)),Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,OUID,String,Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,AgentID,UUID,Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,AgentEmail,String,Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,OfflineReason,String,Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,Timestamp,DateTime64(3),Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,InsertedAt,DateTime64(3),Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,AppVSN,String,Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,EID,UUID,Dimension,
agentservices_tasky_reviewer_offline_events,EMPTY,Universe,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,OUID,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,TaskID,UUID,Dimension,
agentservices_tasky_task_states_v2,EMPTY,ProfileID,UUID,Dimension,
agentservices_tasky_task_states_v2,EMPTY,AgentID,Nullable(UUID),Dimension,
agentservices_tasky_task_states_v2,EMPTY,State,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,PrevState,Nullable(String),Dimension,
agentservices_tasky_task_states_v2,EMPTY,Reason,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,TaskType,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,Mode,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,Timestamp,DateTime64(3),Dimension,
agentservices_tasky_task_states_v2,EMPTY,InsertedAt,DateTime64(3),Dimension,
agentservices_tasky_task_states_v2,EMPTY,AppVSN,String,Dimension,
agentservices_tasky_task_states_v2,EMPTY,EID,UUID,Dimension,
agentservices_tasky_task_states_v2,EMPTY,Universe,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,OUID,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,TaskID,UUID,Dimension,
agentservices_tasky_tasks_completed,EMPTY,ProfileID,UUID,Dimension,
agentservices_tasky_tasks_completed,EMPTY,AgentOUID,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,AgentID,UUID,Dimension,
agentservices_tasky_tasks_completed,EMPTY,Action,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,TaskType,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,Mode,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,Timestamp,DateTime64(3),Dimension,
agentservices_tasky_tasks_completed,EMPTY,InsertedAt,DateTime64(3),Dimension,
agentservices_tasky_tasks_completed,EMPTY,AppVSN,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,EID,UUID,Dimension,
agentservices_tasky_tasks_completed,EMPTY,Universe,String,Dimension,
agentservices_tasky_tasks_completed,EMPTY,AllocationID,Nullable(String),Dimension,
agentservices_tasky_tasks_created,EMPTY,OUID,String,Dimension,
agentservices_tasky_tasks_created,EMPTY,TaskID,UUID,Dimension,
agentservices_tasky_tasks_created,EMPTY,ProfileID,UUID,Dimension,
agentservices_tasky_tasks_created,EMPTY,TaskType,String,Dimension,
agentservices_tasky_tasks_created,EMPTY,TaskAttributes,Nullable(String),Dimension,
agentservices_tasky_tasks_created,EMPTY,Mode,String,Dimension,
agentservices_tasky_tasks_created,EMPTY,Timestamp,DateTime64(3),Dimension,
agentservices_tasky_tasks_created,EMPTY,InsertedAt,DateTime64(3),Dimension,
agentservices_tasky_tasks_created,EMPTY,AppVSN,String,Dimension,
agentservices_tasky_tasks_created,EMPTY,EID,UUID,Dimension,
agentservices_tasky_tasks_created,EMPTY,Universe,String,Dimension,
agentservices_tasky_tasks_events,EMPTY,OUID,String,Dimension,
agentservices_tasky_tasks_events,EMPTY,TaskID,UUID,Dimension,
