Table Name,Profiles,Video Calls,Agent Performance,UTV Reasons,Agent Actions,Checker Action/Performance,Network Performance
agentservices_tasky_agent_states_v2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_allocation_created,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_allocation_cycle_stats,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_reviewer_offline_events,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_task_states_v2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_tasks_completed,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_tasks_created,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
agentservices_tasky_tasks_events,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
av_agent_active_status,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
av_agent_offline_reasons,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
av_allocation_events,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
av_call_allocation_events,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
av_call_details,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
av_call_events,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
av_call_events_view,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
av_completed_profiles,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
av_completed_task_reasons_mv,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
av_completed_tasks,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
av_completed_tasks_mv,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
av_completed_tasks_v2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
av_missed_and_declined_calls_summary,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
av_operator_action,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
av_operator_activity_stats,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
av_operator_events,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_operator_events_view,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_operator_funnel_sequence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_operator_hourly_stats,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
av_operator_state,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_ou_skills_master,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_queue_master,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_reconnect_details,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_session_meta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_session_queue_wait_time_summary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
av_utv_tasks_metadata,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_autoplay_events,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_bandwidth_check_executed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_camera_switch_events,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_create_media_stream_events,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_customer_remote_video_state,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_exception_events,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_executed_image_captures,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_executed_image_captures_aggregated,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
capture_funnel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
